SN,BBMP Zone,Ward Number,Ward Name,Date of identification as Containment zone,Total Number of positive cases,Containment Zone ID,Date of return to normal,Status
80,Yelahanka,2,Chowdeswari Ward,24-07-2020,1,Y-A-732,06-08-2020,ACTIVE
81,Yelahanka,2,Chowdeswari Ward,24-07-2020,1,Y-A-734,06-08-2020,EXTENDED
82,Yelahanka,2,Chowdeswari Ward,24-07-2020,1,Y-A-735,06-08-2020,ACTIVE
83,Yelahanka,2,Chowdeswari Ward,25-07-2020,1,Y-A-782,07-08-2020,ACTIVE
84,Yelahanka,2,Chowdeswari Ward,25-07-2020,1,Y-A-783,07-08-2020,ACTIVE
85,Yelahanka,2,Chowdeswari Ward,25-07-2020,1,Y-A-784,07-08-2020,ACTIVE
86,Yelahanka,2,Chowdeswari Ward,25-07-2020,1,Y-A-785,07-08-2020,ACTIVE
87,Yelahanka,2,Chowdeswari Ward,25-07-2020,2,Y-A-786,07-08-2020,ACTIVE
88,Yelahanka,2,Chowdeswari Ward,26-07-2020,1,Y-A-832,08-08-2020,ACTIVE
89,Yelahanka,2,Chowdeswari Ward,26-07-2020,1,Y-A-833,08-08-2020,ACTIVE
90,Yelahanka,2,Chowdeswari Ward,27-07-2020,2,Y-A-881,09-08-2020,ACTIVE
91,Yelahanka,2,Chowdeswari Ward,27-07-2020,1,Y-A-882,09-08-2020,ACTIVE
92,Yelahanka,2,Chowdeswari Ward,27-07-2020,2,Y-A-884,09-08-2020,ACTIVE
93,Yelahanka,2,Chowdeswari Ward,27-07-2020,2,Y-A-885,09-08-2020,ACTIVE
94,Yelahanka,2,Chowdeswari Ward,28-07-2020,2,Y-A-935,10-08-2020,ACTIVE
95,Yelahanka,2,Chowdeswari Ward,29-07-2020,1,Y-A-976,11-08-2020,ACTIVE
96,Yelahanka,2,Chowdeswari Ward,29-07-2020,1,Y-A-977,11-08-2020,ACTIVE
97,Yelahanka,2,Chowdeswari Ward,29-07-2020,1,Y-A-978,11-08-2020,ACTIVE
98,Yelahanka,2,Chowdeswari Ward,29-07-2020,1,Y-A-979,11-08-2020,ACTIVE
99,Yelahanka,2,Chowdeswari Ward,29-07-2020,1,Y-A-980,11-08-2020,ACTIVE
100,Yelahanka,2,Chowdeswari Ward,29-07-2020,1,Y-A-981,11-08-2020,ACTIVE
101,Yelahanka,2,Chowdeswari Ward,29-07-2020,2,Y-A-982,11-08-2020,ACTIVE
102,Yelahanka,2,Chowdeswari Ward,01-08-2020,1,Y-AP-1142,14-08-2020,ACTIVE
103,Yelahanka,2,Chowdeswari Ward,22-07-2020,1,Y-AP-643,04-08-2020,EXTENDED
104,Yelahanka,2,Chowdeswari Ward,22-07-2020,1,Y-AP-646,04-08-2020,ACTIVE
105,Yelahanka,2,Chowdeswari Ward,23-07-2020,1,Y-AP-692,05-08-2020,EXTENDED
106,Yelahanka,2,Chowdeswari Ward,24-07-2020,1,Y-AP-728,06-08-2020,EXTENDED
107,Yelahanka,2,Chowdeswari Ward,24-07-2020,1,Y-AP-733,06-08-2020,EXTENDED
108,Yelahanka,2,Chowdeswari Ward,27-07-2020,1,Y-AP-883,09-08-2020,ACTIVE
109,Yelahanka,2,Chowdeswari Ward,28-07-2020,1,Y-AP-936,10-08-2020,ACTIVE
110,Yelahanka,2,Chowdeswari Ward,28-07-2020,1,Y-AP-937,10-08-2020,ACTIVE
111,Yelahanka,2,Chowdeswari Ward,29-07-2020,1,Y-AP-983,11-08-2020,ACTIVE
112,Yelahanka,2,Chowdeswari Ward,29-07-2020,1,Y-AP-984,11-08-2020,ACTIVE
113,Yelahanka,2,Chowdeswari Ward,03-08-2020,1,Y-A-1234,17-08-2020,ACTIVE
114,Yelahanka,2,Chowdeswari Ward,03-08-2020,2,Y-A-1235,17-08-2020,ACTIVE
115,Yelahanka,2,Chowdeswari Ward,03-08-2020,3,Y-A-1236,17-08-2020,ACTIVE
116,Yelahanka,2,Chowdeswari Ward,03-08-2020,3,Y-A-1237,17-08-2020,ACTIVE
117,Yelahanka,2,Chowdeswari Ward,03-08-2020,1,Y-A-1238,17-08-2020,ACTIVE
118,Yelahanka,2,Chowdeswari Ward,04-08-2020,1,Y-A-1294,17-08-2020,ACTIVE
119,Yelahanka,2,Chowdeswari Ward,04-08-2020,1,Y-A-1295,17-08-2020,ACTIVE
120,Yelahanka,2,Chowdeswari Ward,04-08-2020,1,Y-A-1296,17-08-2020,ACTIVE
121,Yelahanka,2,Chowdeswari Ward,04-08-2020,1,Y-A-1298,17-08-2020,ACTIVE
122,Yelahanka,2,Chowdeswari Ward,04-08-2020,1,Y-A-1299,17-08-2020,ACTIVE
123,Yelahanka,2,Chowdeswari Ward,04-08-2020,2,Y-AP-1297,17-08-2020,ACTIVE
124,Yelahanka,3,Atturu,30-07-2020,4,Y-A-1042,12-08-2020,ACTIVE
