SN,BBMP Zone,Ward Number,Ward Name,Date of identification as Containment zone,Total Number of positive cases,Containment Zone ID,Date of return to normal,Status
4649,East,92,Shivaji Nagar,21-07-2020,1,E-A-3071,03-08-2020,ACTIVE
4650,East,92,Shivaji Nagar,22-07-2020,1,E-A-3274,04-08-2020,ACTIVE
4651,East,92,Shivaji Nagar,22-07-2020,1,E-A-3275,04-08-2020,ACTIVE
4652,East,92,Shivaji Nagar,22-07-2020,2,E-A-3276,04-08-2020,ACTIVE
4653,East,92,Shivaji Nagar,23-07-2020,1,E-A-3476,05-08-2020,ACTIVE
4654,East,92,Shivaji Nagar,23-07-2020,1,E-A-3477,05-08-2020,ACTIVE
4655,East,92,Shivaji Nagar,24-07-2020,2,E-A-3669,06-08-2020,ACTIVE
4656,East,92,Shivaji Nagar,24-07-2020,1,E-A-3670,06-08-2020,ACTIVE
4657,East,92,Shivaji Nagar,26-07-2020,1,E-A-4008,08-08-2020,ACTIVE
4658,East,92,Shivaji Nagar,30-07-2020,1,E-A-4768,12-08-2020,ACTIVE
4659,East,92,Shivaji Nagar,30-07-2020,1,E-A-4769,12-08-2020,ACTIVE
4660,East,92,Shivaji Nagar,30-07-2020,1,E-A-4770,12-08-2020,ACTIVE
4661,East,92,Shivaji Nagar,31-07-2020,2,E-A-4941,13-08-2020,ACTIVE
4662,East,92,Shivaji Nagar,31-07-2020,1,E-A-4942,13-08-2020,ACTIVE
4663,East,92,Shivaji Nagar,31-07-2020,1,E-A-4943,13-08-2020,ACTIVE
4664,East,92,Shivaji Nagar,31-07-2020,1,E-A-4944,13-08-2020,ACTIVE
4665,East,92,Shivaji Nagar,31-07-2020,1,E-A-4945,13-08-2020,ACTIVE
4666,East,92,Shivaji Nagar,31-07-2020,1,E-A-4946,13-08-2020,ACTIVE
4667,East,93,Vasanth Nagar,25-06-2020,1,E-A-153,07-08-2020,ACTIVE
4668,East,93,Vasanth Nagar,25-06-2020,1,E-A-154,07-08-2020,ACTIVE
4669,East,93,Vasanth Nagar,27-06-2020,2,E-A-255,10-07-2020,EXTENDED
4670,East,93,Vasanth Nagar,19-07-2020,2,E-A-2732,01-08-2020,EXTENDED
4671,East,93,Vasanth Nagar,19-07-2020,1,E-A-2733,01-08-2020,ACTIVE
4672,East,93,Vasanth Nagar,19-07-2020,1,E-A-2734,01-08-2020,ACTIVE
4673,East,93,Vasanth Nagar,19-07-2020,1,E-A-2735,01-08-2020,ACTIVE
4674,East,93,Vasanth Nagar,19-07-2020,1,E-A-2736,01-08-2020,ACTIVE
4675,East,93,Vasanth Nagar,22-07-2020,5,E-A-3277,04-08-2020,ACTIVE
4676,East,93,Vasanth Nagar,22-07-2020,1,E-A-3279,04-08-2020,ACTIVE
4677,East,93,Vasanth Nagar,22-07-2020,1,E-A-3280,04-08-2020,ACTIVE
4678,East,93,Vasanth Nagar,23-07-2020,1,E-A-3478,05-08-2020,ACTIVE
4679,East,93,Vasanth Nagar,23-07-2020,1,E-A-3479,05-08-2020,ACTIVE
4680,East,93,Vasanth Nagar,23-07-2020,1,E-A-3481,05-08-2020,ACTIVE
4681,East,93,Vasanth Nagar,23-07-2020,1,E-A-3482,05-08-2020,ACTIVE
4682,East,93,Vasanth Nagar,24-07-2020,2,E-A-3671,06-08-2020,EXTENDED
4683,East,93,Vasanth Nagar,24-07-2020,1,E-A-3672,06-08-2020,ACTIVE
4684,East,93,Vasanth Nagar,24-07-2020,1,E-A-3673,06-08-2020,ACTIVE
4685,East,93,Vasanth Nagar,26-07-2020,1,E-A-4009,08-08-2020,ACTIVE
4686,East,93,Vasanth Nagar,27-07-2020,1,E-A-4156,09-08-2020,ACTIVE
4687,East,93,Vasanth Nagar,27-07-2020,2,E-A-4157,09-08-2020,ACTIVE
4688,East,93,Vasanth Nagar,27-07-2020,1,E-A-4158,09-08-2020,ACTIVE
4689,East,93,Vasanth Nagar,27-07-2020,1,E-A-4159,09-08-2020,ACTIVE
4690,East,93,Vasanth Nagar,28-07-2020,1,E-A-4316,10-08-2020,ACTIVE
4691,East,93,Vasanth Nagar,28-07-2020,2,E-A-4317,10-08-2020,ACTIVE
4692,East,93,Vasanth Nagar,28-07-2020,2,E-A-4319,10-08-2020,ACTIVE
4693,East,93,Vasanth Nagar,28-07-2020,1,E-A-4320,10-08-2020,ACTIVE
4694,East,93,Vasanth Nagar,29-07-2020,1,E-A-4528,11-08-2020,ACTIVE
4695,East,93,Vasanth Nagar,29-07-2020,1,E-A-4529,11-08-2020,ACTIVE
4696,East,93,Vasanth Nagar,29-07-2020,1,E-A-4530,11-08-2020,ACTIVE
4697,East,93,Vasanth Nagar,29-07-2020,1,E-A-4531,11-08-2020,ACTIVE
4698,East,93,Vasanth Nagar,29-07-2020,1,E-A-4533,11-08-2020,ACTIVE
4699,East,93,Vasanth Nagar,29-07-2020,1,E-A-4534,11-08-2020,ACTIVE
4700,East,93,Vasanth Nagar,29-07-2020,1,E-A-4535,11-08-2020,ACTIVE
4701,East,93,Vasanth Nagar,29-07-2020,1,E-A-4536,11-08-2020,ACTIVE
4702,East,93,Vasanth Nagar,30-07-2020,1,E-A-4771,12-08-2020,ACTIVE
4703,East,93,Vasanth Nagar,30-07-2020,1,E-A-4773,12-08-2020,ACTIVE
4704,East,93,Vasanth Nagar,30-07-2020,1,E-A-4774,12-08-2020,ACTIVE
4705,East,93,Vasanth Nagar,30-07-2020,2,E-A-4775,12-08-2020,ACTIVE
4706,East,93,Vasanth Nagar,30-07-2020,1,E-A-4778,12-08-2020,ACTIVE
4707,East,93,Vasanth Nagar,30-07-2020,4,E-A-4779,12-08-2020,ACTIVE
4708,East,93,Vasanth Nagar,30-07-2020,1,E-A-4780,12-08-2020,ACTIVE
4709,East,93,Vasanth Nagar,31-07-2020,1,E-A-4947,13-08-2020,ACTIVE
4710,East,93,Vasanth Nagar,31-07-2020,1,E-A-4948,13-08-2020,ACTIVE
4711,East,93,Vasanth Nagar,31-07-2020,2,E-A-4949,13-08-2020,ACTIVE
4712,East,93,Vasanth Nagar,31-07-2020,1,E-A-4950,13-08-2020,ACTIVE
4713,East,93,Vasanth Nagar,31-07-2020,1,E-A-4951,13-08-2020,ACTIVE
4714,East,93,Vasanth Nagar,31-07-2020,1,E-A-4952,13-08-2020,ACTIVE
4715,East,93,Vasanth Nagar,25-06-2020,1,E-AP-157,07-08-2020,ACTIVE
4716,East,93,Vasanth Nagar,25-06-2020,1,E-AP-158,07-08-2020,ACTIVE
4717,East,93,Vasanth Nagar,22-07-2020,1,E-AP-3278,04-08-2020,ACTIVE
4718,East,93,Vasanth Nagar,23-07-2020,1,E-AP-3480,05-08-2020,ACTIVE
4719,East,93,Vasanth Nagar,28-07-2020,1,E-AP-4315,10-08-2020,ACTIVE
4720,East,93,Vasanth Nagar,28-07-2020,1,E-AP-4318,10-08-2020,ACTIVE
4721,East,93,Vasanth Nagar,29-07-2020,1,E-AP-4531,11-08-2020,ACTIVE
4722,East,93,Vasanth Nagar,29-07-2020,2,E-AP-4532,11-08-2020,ACTIVE
4723,East,93,Vasanth Nagar,30-07-2020,1,E-AP-4772,12-08-2020,ACTIVE
4724,East,93,Vasanth Nagar,30-07-2020,1,E-AP-4776,12-08-2020,ACTIVE
4725,East,93,Vasanth Nagar,30-07-2020,2,E-AP-4777,12-08-2020,ACTIVE
4726,East,93,Vasanth Nagar,03-08-2020,1,E-A-5386,16-08-2020,ACTIVE
4727,East,93,Vasanth Nagar,03-08-2020,1,E-A-5387,16-08-2020,ACTIVE
4728,East,93,Vasanth Nagar,03-08-2020,1,E-A-5388,16-08-2020,ACTIVE
4729,East,93,Vasanth Nagar,03-08-2020,1,E-AP-5389,16-08-2020,ACTIVE
4730,West,94,Gandhinagar,18-07-2020,2,W-A-1763,01-08-2020,EXTENDED
4731,West,94,Gandhinagar,18-07-2020,1,W-A-1764,01-08-2020,ACTIVE
4732,West,94,Gandhinagar,20-07-2020,1,W-A-1968,03-08-2020,ACTIVE
4733,West,94,Gandhinagar,20-07-2020,1,W-A-1969,03-08-2020,ACTIVE
4734,West,94,Gandhinagar,21-07-2020,1,W-A-2062,04-08-2020,ACTIVE
4735,West,94,Gandhinagar,21-07-2020,1,W-A-2063,04-08-2020,ACTIVE
4736,West,94,Gandhinagar,21-07-2020,1,W-A-2064,04-08-2020,ACTIVE
4737,West,94,Gandhinagar,22-07-2020,1,W-A-2189,05-08-2020,ACTIVE
4738,West,94,Gandhinagar,22-07-2020,1,W-A-2190,05-08-2020,ACTIVE
4739,West,94,Gandhinagar,22-07-2020,1,W-A-2191,05-08-2020,ACTIVE
4740,West,94,Gandhinagar,22-07-2020,1,W-A-2192,05-08-2020,ACTIVE
4741,West,94,Gandhinagar,22-07-2020,1,W-A-2193,05-08-2020,ACTIVE
4742,West,94,Gandhinagar,23-07-2020,1,W-A-2363,06-08-2020,ACTIVE
4743,West,94,Gandhinagar,23-07-2020,1,W-A-2364,06-08-2020,ACTIVE
4744,West,94,Gandhinagar,23-07-2020,1,W-A-2365,06-08-2020,ACTIVE
4745,West,94,Gandhinagar,23-07-2020,1,W-A-2366,06-08-2020,ACTIVE
4746,West,94,Gandhinagar,23-07-2020,1,W-A-2367,06-08-2020,ACTIVE
4747,West,94,Gandhinagar,23-07-2020,1,W-A-2368,06-08-2020,ACTIVE
4748,West,94,Gandhinagar,25-07-2020,1,W-A-2635,08-08-2020,ACTIVE
4749,West,94,Gandhinagar,25-07-2020,1,W-A-2636,08-08-2020,ACTIVE
4750,West,94,Gandhinagar,25-07-2020,1,W-A-2637,08-08-2020,ACTIVE
4751,West,94,Gandhinagar,25-07-2020,1,W-A-2638,08-08-2020,ACTIVE
4752,West,94,Gandhinagar,25-07-2020,1,W-A-2639,08-08-2020,ACTIVE
4753,West,94,Gandhinagar,25-07-2020,1,W-A-2640,08-08-2020,ACTIVE
4754,West,94,Gandhinagar,25-07-2020,1,W-A-2641,08-08-2020,ACTIVE
4755,West,94,Gandhinagar,25-07-2020,1,W-A-2642,08-08-2020,ACTIVE
4756,West,94,Gandhinagar,26-07-2020,1,W-A-2769,09-08-2020,ACTIVE
4757,West,94,Gandhinagar,26-07-2020,1,W-A-2770,09-08-2020,ACTIVE
4758,West,94,Gandhinagar,26-07-2020,1,W-A-2771,09-08-2020,ACTIVE
4759,West,94,Gandhinagar,26-07-2020,1,W-A-2772,09-08-2020,ACTIVE
4760,West,94,Gandhinagar,27-07-2020,1,W-A-2893,09-08-2020,ACTIVE
4761,West,94,Gandhinagar,27-07-2020,1,W-A-2894,09-08-2020,ACTIVE
4762,West,94,Gandhinagar,27-07-2020,1,W-A-2895,09-08-2020,ACTIVE
4763,West,94,Gandhinagar,27-07-2020,1,W-A-2896,09-08-2020,ACTIVE
4764,West,94,Gandhinagar,28-07-2020,2,W-A-3101,10-08-2020,ACTIVE
4765,West,94,Gandhinagar,28-07-2020,1,W-A-3102,10-08-2020,ACTIVE
4766,West,94,Gandhinagar,28-07-2020,7,W-A-3103,10-08-2020,ACTIVE
4767,West,94,Gandhinagar,28-07-2020,1,W-A-3104,10-08-2020,ACTIVE
4768,West,94,Gandhinagar,28-07-2020,1,W-A-3105,10-08-2020,ACTIVE
4769,West,94,Gandhinagar,28-07-2020,1,W-A-3106,10-08-2020,ACTIVE
4770,West,94,Gandhinagar,28-07-2020,1,W-A-3107,10-08-2020,ACTIVE
4771,West,94,Gandhinagar,28-07-2020,1,W-A-3108,10-08-2020,ACTIVE
4772,West,94,Gandhinagar,28-07-2020,1,W-A-3109,10-08-2020,ACTIVE
4773,West,94,Gandhinagar,28-07-2020,1,W-A-3110,10-08-2020,ACTIVE
4774,West,94,Gandhinagar,28-07-2020,1,W-A-3111,10-08-2020,ACTIVE
4775,West,94,Gandhinagar,28-07-2020,1,W-A-3112,10-08-2020,ACTIVE
4776,West,94,Gandhinagar,31-07-2020,1,W-A-3654,13-08-2020,ACTIVE
4777,West,94,Gandhinagar,31-07-2020,1,W-A-3655,13-08-2020,ACTIVE
4778,West,94,Gandhinagar,31-07-2020,1,W-A-3656,13-08-2020,ACTIVE
4779,West,94,Gandhinagar,31-07-2020,1,W-A-3657,13-08-2020,ACTIVE
4780,West,94,Gandhinagar,31-07-2020,1,W-A-3658,13-08-2020,ACTIVE
4781,West,94,Gandhinagar,31-07-2020,1,W-A-3659,13-08-2020,ACTIVE
4782,West,94,Gandhinagar,24-06-2020,1,W-A-7,07-08-2020,ACTIVE
4783,West,94,Gandhinagar,20-07-2020,1,W-AP-123,03-08-2020,ACTIVE
4784,West,94,Gandhinagar,21-07-2020,1,W-AP-128,04-08-2020,ACTIVE
4785,West,94,Gandhinagar,23-07-2020,1,W-AP-137,06-08-2020,ACTIVE
4786,West,94,Gandhinagar,01-08-2020,1,W-A-3856,14-08-2020,ACTIVE
4787,West,94,Gandhinagar,01-08-2020,1,W-A-3857,14-08-2020,ACTIVE
4788,West,94,Gandhinagar,01-08-2020,1,W-A-3858,14-08-2020,ACTIVE
4789,West,94,Gandhinagar,01-08-2020,1,W-A-3859,14-08-2020,ACTIVE
4790,West,94,Gandhinagar,01-08-2020,1,W-A-3860,14-08-2020,ACTIVE
4791,West,94,Gandhinagar,01-08-2020,1,W-A-3861,14-08-2020,ACTIVE
4792,West,94,Gandhinagar,01-08-2020,1,W-A-3862,14-08-2020,ACTIVE
4793,West,94,Gandhinagar,01-08-2020,1,W-A-3863,14-08-2020,ACTIVE
4794,West,94,Gandhinagar,01-08-2020,1,W-A-3864,14-08-2020,ACTIVE
4795,West,94,Gandhinagar,01-08-2020,1,W-A-3865,14-08-2020,ACTIVE
4796,West,94,Gandhinagar,01-08-2020,1,W-A-3866,14-08-2020,ACTIVE
4797,West,94,Gandhinagar,01-08-2020,1,W-A-3867,14-08-2020,ACTIVE
4798,West,94,Gandhinagar,01-08-2020,1,W-A-3868,14-08-2020,ACTIVE
4799,West,94,Gandhinagar,01-08-2020,1,W-A-3869,14-08-2020,ACTIVE
4800,West,94,Gandhinagar,01-08-2020,1,W-A-3870,14-08-2020,ACTIVE
4801,West,94,Gandhinagar,02-08-2020,1,W-A-4075,15-08-2020,ACTIVE
4802,West,94,Gandhinagar,02-08-2020,1,W-A-4076,15-08-2020,ACTIVE
4803,West,94,Gandhinagar,02-08-2020,1,W-A-4077,15-08-2020,ACTIVE
4804,West,94,Gandhinagar,02-08-2020,1,W-A-4078,15-08-2020,ACTIVE
4805,West,94,Gandhinagar,02-08-2020,1,W-A-4079,15-08-2020,ACTIVE
4806,West,94,Gandhinagar,02-08-2020,1,W-A-4080,15-08-2020,ACTIVE
4807,West,95,Subhash Nagar,18-07-2020,1,W-A-1765,01-08-2020,ACTIVE
4808,West,95,Subhash Nagar,18-07-2020,1,W-A-1766,01-08-2020,ACTIVE
4809,West,95,Subhash Nagar,18-07-2020,1,W-A-1767,01-08-2020,ACTIVE
4810,West,95,Subhash Nagar,20-07-2020,1,W-A-1970,03-08-2020,ACTIVE
4811,West,95,Subhash Nagar,20-07-2020,1,W-A-1971,03-08-2020,ACTIVE
4812,West,95,Subhash Nagar,20-07-2020,2,W-A-1972,03-08-2020,ACTIVE
4813,West,95,Subhash Nagar,21-07-2020,1,W-A-2065,04-08-2020,ACTIVE
4814,West,95,Subhash Nagar,21-07-2020,1,W-A-2066,04-08-2020,ACTIVE
4815,West,95,Subhash Nagar,21-07-2020,1,W-A-2067,04-08-2020,ACTIVE
4816,West,95,Subhash Nagar,21-07-2020,2,W-A-2068,04-08-2020,ACTIVE
4817,West,95,Subhash Nagar,21-07-2020,1,W-A-2069,04-08-2020,ACTIVE
4818,West,95,Subhash Nagar,21-07-2020,1,W-A-2070,04-08-2020,ACTIVE
4819,West,95,Subhash Nagar,21-07-2020,2,W-A-2071,04-08-2020,ACTIVE
4820,West,95,Subhash Nagar,21-07-2020,1,W-A-2072,04-08-2020,ACTIVE
4821,West,95,Subhash Nagar,21-07-2020,1,W-A-2073,04-08-2020,ACTIVE
4822,West,95,Subhash Nagar,22-07-2020,2,W-A-2194,05-08-2020,ACTIVE
4823,West,95,Subhash Nagar,22-07-2020,1,W-A-2195,05-08-2020,ACTIVE
4824,West,95,Subhash Nagar,22-07-2020,1,W-A-2196,05-08-2020,ACTIVE
4825,West,95,Subhash Nagar,22-07-2020,1,W-A-2197,05-08-2020,ACTIVE
4826,West,95,Subhash Nagar,22-07-2020,1,W-A-2198,05-08-2020,ACTIVE
4827,West,95,Subhash Nagar,22-07-2020,1,W-A-2199,05-08-2020,ACTIVE
4828,West,95,Subhash Nagar,22-07-2020,1,W-A-2200,05-08-2020,ACTIVE
4829,West,95,Subhash Nagar,22-07-2020,1,W-A-2201,05-08-2020,ACTIVE
4830,West,95,Subhash Nagar,23-07-2020,1,W-A-2369,06-08-2020,ACTIVE
4831,West,95,Subhash Nagar,23-07-2020,2,W-A-2370,06-08-2020,ACTIVE
4832,West,95,Subhash Nagar,23-07-2020,1,W-A-2371,06-08-2020,ACTIVE
4833,West,95,Subhash Nagar,23-07-2020,1,W-A-2372,06-08-2020,ACTIVE
4834,West,95,Subhash Nagar,25-07-2020,2,W-A-2643,08-08-2020,ACTIVE
4835,West,95,Subhash Nagar,25-07-2020,1,W-A-2644,08-08-2020,ACTIVE
4836,West,95,Subhash Nagar,25-07-2020,1,W-A-2645,08-08-2020,ACTIVE
4837,West,95,Subhash Nagar,26-07-2020,1,W-A-2773,09-08-2020,ACTIVE
4838,West,95,Subhash Nagar,26-07-2020,2,W-A-2774,09-08-2020,ACTIVE
4839,West,95,Subhash Nagar,26-07-2020,1,W-A-2775,09-08-2020,ACTIVE
4840,West,95,Subhash Nagar,27-07-2020,1,W-A-2897,09-08-2020,ACTIVE
4841,West,95,Subhash Nagar,27-07-2020,1,W-A-2898,09-08-2020,ACTIVE
4842,West,95,Subhash Nagar,27-07-2020,3,W-A-2899,09-08-2020,ACTIVE
4843,West,95,Subhash Nagar,28-07-2020,1,W-A-3113,10-08-2020,ACTIVE
4844,West,95,Subhash Nagar,28-07-2020,1,W-A-3114,10-08-2020,ACTIVE
4845,West,95,Subhash Nagar,31-07-2020,1,W-A-3660,13-08-2020,ACTIVE
4846,West,95,Subhash Nagar,31-07-2020,1,W-A-3661,13-08-2020,ACTIVE
4847,West,95,Subhash Nagar,31-07-2020,1,W-A-3662,13-08-2020,ACTIVE
4848,West,95,Subhash Nagar,31-07-2020,1,W-A-3663,13-08-2020,ACTIVE
4849,West,95,Subhash Nagar,31-07-2020,1,W-A-3664,13-08-2020,ACTIVE
4850,West,95,Subhash Nagar,31-07-2020,1,W-A-3665,13-08-2020,ACTIVE
4851,West,95,Subhash Nagar,31-07-2020,1,W-A-3666,13-08-2020,ACTIVE
4852,West,95,Subhash Nagar,31-07-2020,1,W-A-3667,13-08-2020,ACTIVE
4853,West,95,Subhash Nagar,31-07-2020,1,W-A-3668,13-08-2020,ACTIVE
4854,West,95,Subhash Nagar,31-07-2020,1,W-A-3669,13-08-2020,ACTIVE
4855,West,95,Subhash Nagar,24-06-2020,1,W-A-8,07-08-2020,ACTIVE
4856,West,95,Subhash Nagar,25-07-2020,4,W-AP-148,08-08-2020,ACTIVE
4857,West,95,Subhash Nagar,01-08-2020,1,W-A-3871,14-08-2020,ACTIVE
4858,West,95,Subhash Nagar,01-08-2020,1,W-A-3872,14-08-2020,ACTIVE
4859,West,95,Subhash Nagar,01-08-2020,1,W-A-3873,14-08-2020,ACTIVE
4860,West,95,Subhash Nagar,01-08-2020,1,W-A-3874,14-08-2020,ACTIVE
4861,West,95,Subhash Nagar,01-08-2020,1,W-A-3875,14-08-2020,ACTIVE
4862,West,95,Subhash Nagar,01-08-2020,1,W-A-3876,14-08-2020,ACTIVE
4863,West,95,Subhash Nagar,01-08-2020,1,W-A-3877,14-08-2020,ACTIVE
4864,West,95,Subhash Nagar,01-08-2020,1,W-A-3878,14-08-2020,ACTIVE
4865,West,95,Subhash Nagar,01-08-2020,1,W-A-3879,14-08-2020,ACTIVE
4866,West,95,Subhash Nagar,01-08-2020,1,W-A-3880,14-08-2020,ACTIVE
4867,West,95,Subhash Nagar,01-08-2020,1,W-A-3881,14-08-2020,ACTIVE
4868,West,95,Subhash Nagar,01-08-2020,1,W-A-3882,14-08-2020,ACTIVE
4869,West,95,Subhash Nagar,01-08-2020,1,W-A-3883,14-08-2020,ACTIVE
4870,West,95,Subhash Nagar,02-08-2020,4,W-AP-180,15-08-2020,ACTIVE
4871,West,95,Subhash Nagar,02-08-2020,3,W-A-4081,15-08-2020,ACTIVE
4872,West,96,Okalipuram,18-07-2020,1,W-A-1768,01-08-2020,ACTIVE
4873,West,96,Okalipuram,18-07-2020,1,W-A-1769,01-08-2020,ACTIVE
4874,West,96,Okalipuram,18-07-2020,1,W-A-1770,01-08-2020,ACTIVE
4875,West,96,Okalipuram,18-07-2020,4,W-A-1771,01-08-2020,ACTIVE
4876,West,96,Okalipuram,18-07-2020,1,W-A-1772,01-08-2020,ACTIVE
4877,West,96,Okalipuram,18-07-2020,3,W-A-1773,01-08-2020,ACTIVE
4878,West,96,Okalipuram,18-07-2020,2,W-A-1774,01-08-2020,ACTIVE
4879,West,96,Okalipuram,18-07-2020,1,W-A-1775,01-08-2020,ACTIVE
4880,West,96,Okalipuram,18-07-2020,1,W-A-1776,01-08-2020,ACTIVE
4881,West,96,Okalipuram,20-07-2020,1,W-A-1973,03-08-2020,ACTIVE
4882,West,96,Okalipuram,21-07-2020,1,W-A-2074,04-08-2020,ACTIVE
4883,West,96,Okalipuram,21-07-2020,1,W-A-2075,04-08-2020,ACTIVE
4884,West,96,Okalipuram,21-07-2020,1,W-A-2076,04-08-2020,ACTIVE
4885,West,96,Okalipuram,21-07-2020,1,W-A-2077,04-08-2020,ACTIVE
4886,West,96,Okalipuram,21-07-2020,1,W-A-2078,04-08-2020,ACTIVE
4887,West,96,Okalipuram,23-07-2020,1,W-A-2373,06-08-2020,ACTIVE
4888,West,96,Okalipuram,25-07-2020,1,W-A-2646,08-08-2020,ACTIVE
4889,West,96,Okalipuram,25-07-2020,1,W-A-2647,08-08-2020,ACTIVE
4890,West,96,Okalipuram,25-07-2020,1,W-A-2648,08-08-2020,ACTIVE
4891,West,96,Okalipuram,25-07-2020,1,W-A-2649,08-08-2020,ACTIVE
4892,West,96,Okalipuram,25-07-2020,1,W-A-2650,08-08-2020,ACTIVE
4893,West,96,Okalipuram,25-07-2020,4,W-A-2651,08-08-2020,ACTIVE
4894,West,96,Okalipuram,26-07-2020,1,W-A-2776,09-08-2020,ACTIVE
4895,West,96,Okalipuram,26-07-2020,1,W-A-2777,09-08-2020,ACTIVE
4896,West,96,Okalipuram,26-07-2020,3,W-A-2778,09-08-2020,ACTIVE
4897,West,96,Okalipuram,27-07-2020,1,W-A-2900,09-08-2020,ACTIVE
4898,West,96,Okalipuram,27-07-2020,1,W-A-2901,09-08-2020,ACTIVE
4899,West,96,Okalipuram,27-07-2020,1,W-A-2902,09-08-2020,ACTIVE
4900,West,96,Okalipuram,28-07-2020,1,W-A-3115,10-08-2020,ACTIVE
4901,West,96,Okalipuram,28-07-2020,1,W-A-3116,10-08-2020,ACTIVE
4902,West,96,Okalipuram,28-07-2020,1,W-A-3117,10-08-2020,ACTIVE
4903,West,96,Okalipuram,28-07-2020,1,W-A-3118,10-08-2020,ACTIVE
4904,West,96,Okalipuram,31-07-2020,1,W-A-3670,13-08-2020,ACTIVE
4905,West,96,Okalipuram,31-07-2020,1,W-A-3671,13-08-2020,ACTIVE
4906,West,96,Okalipuram,31-07-2020,1,W-A-3672,13-08-2020,ACTIVE
4907,West,96,Okalipuram,31-07-2020,1,W-A-3673,13-08-2020,ACTIVE
4908,West,96,Okalipuram,31-07-2020,1,W-A-3674,13-08-2020,ACTIVE
4909,West,96,Okalipuram,31-07-2020,1,W-A-3675,13-08-2020,ACTIVE
4910,West,96,Okalipuram,31-07-2020,1,W-A-3676,13-08-2020,ACTIVE
4911,West,96,Okalipuram,31-07-2020,1,W-A-3677,13-08-2020,ACTIVE
4912,West,96,Okalipuram,31-07-2020,1,W-A-3678,13-08-2020,ACTIVE
4913,West,96,Okalipuram,23-07-2020,1,W-AP-138,06-08-2020,ACTIVE
4914,West,96,Okalipuram,25-07-2020,1,W-AP-149,08-08-2020,ACTIVE
4915,West,96,Okalipuram,31-07-2020,1,W-AP-168,13-08-2020,ACTIVE
4916,West,96,Okalipuram,01-08-2020,1,W-A-3884,14-08-2020,ACTIVE
4917,West,96,Okalipuram,01-08-2020,1,W-A-3885,14-08-2020,ACTIVE
4918,West,96,Okalipuram,01-08-2020,1,W-A-3886,14-08-2020,ACTIVE
4919,West,96,Okalipuram,01-08-2020,1,W-A-3887,14-08-2020,ACTIVE
4920,West,96,Okalipuram,01-08-2020,1,W-A-3888,14-08-2020,ACTIVE
4921,West,96,Okalipuram,01-08-2020,1,W-A-3889,14-08-2020,ACTIVE
4922,West,96,Okalipuram,01-08-2020,1,W-A-3890,14-08-2020,ACTIVE
4923,West,96,Okalipuram,01-08-2020,1,W-A-3891,14-08-2020,ACTIVE
4924,West,96,Okalipuram,01-08-2020,1,W-A-3892,14-08-2020,ACTIVE
4925,West,96,Okalipuram,01-08-2020,1,W-A-3893,14-08-2020,ACTIVE
4926,West,96,Okalipuram,01-08-2020,1,W-A-3894,14-08-2020,ACTIVE
4927,West,96,Okalipuram,02-08-2020,2,W-A-4082,15-08-2020,ACTIVE
4928,West,96,Okalipuram,02-08-2020,1,W-A-4083,15-08-2020,ACTIVE
4929,West,96,Okalipuram,02-08-2020,1,W-A-4084,15-08-2020,ACTIVE
4930,West,96,Okalipuram,02-08-2020,3,W-A-4085,15-08-2020,ACTIVE
4931,West,96,Okalipuram,02-08-2020,1,W-A-4086,15-08-2020,ACTIVE
4932,West,96,Okalipuram,02-08-2020,1,W-A-4087,15-08-2020,ACTIVE
4933,West,97,Dayananda Nagar,18-07-2020,1,W-A-1777,01-08-2020,ACTIVE
4934,West,97,Dayananda Nagar,18-07-2020,2,W-A-1778,01-08-2020,ACTIVE
4935,West,97,Dayananda Nagar,18-07-2020,1,W-A-1779,01-08-2020,ACTIVE
4936,West,97,Dayananda Nagar,18-07-2020,2,W-A-1780,01-08-2020,ACTIVE
4937,West,97,Dayananda Nagar,18-07-2020,1,W-A-1781,01-08-2020,ACTIVE
4938,West,97,Dayananda Nagar,18-07-2020,1,W-A-1782,01-08-2020,ACTIVE
4939,West,97,Dayananda Nagar,20-07-2020,1,W-A-1974,03-08-2020,ACTIVE
4940,West,97,Dayananda Nagar,20-07-2020,1,W-A-1975,03-08-2020,ACTIVE
4941,West,97,Dayananda Nagar,21-07-2020,1,W-A-2079,04-08-2020,ACTIVE
4942,West,97,Dayananda Nagar,21-07-2020,2,W-A-2080,04-08-2020,EXTENDED
4943,West,97,Dayananda Nagar,22-07-2020,1,W-A-2202,05-08-2020,ACTIVE
4944,West,97,Dayananda Nagar,22-07-2020,1,W-A-2203,05-08-2020,ACTIVE
4945,West,97,Dayananda Nagar,22-07-2020,1,W-A-2204,05-08-2020,ACTIVE
4946,West,97,Dayananda Nagar,23-07-2020,1,W-A-2374,06-08-2020,ACTIVE
4947,West,97,Dayananda Nagar,23-07-2020,4,W-A-2375,06-08-2020,ACTIVE
4948,West,97,Dayananda Nagar,23-07-2020,2,W-A-2376,06-08-2020,ACTIVE
4949,West,97,Dayananda Nagar,25-07-2020,1,W-A-2652,08-08-2020,ACTIVE
4950,West,97,Dayananda Nagar,25-07-2020,1,W-A-2653,08-08-2020,ACTIVE
4951,West,97,Dayananda Nagar,25-07-2020,1,W-A-2654,08-08-2020,ACTIVE
4952,West,97,Dayananda Nagar,26-07-2020,1,W-A-2779,09-08-2020,ACTIVE
