PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC
DB_LASTUPDATED_SET	S. No	Incident Location	District	State/UT	Date of incident	No. of deaths	Reason of death	Source	Date of publication	Link
SET_APRIL_24	55	Khopdi village	Nasik	Maharashtra	April 21, 2020	1	Suicide, fear of infection	loksatta (marathi)	April 21, 2020	https://www.loksatta.com/maharashtra-news/two-youth-commit-suicide-in-nashik-due-to-fear-of-corona-virus-and-lockdown-aau-85-2138241/
SET_APRIL_24	56	-	Nasik	Maharashtra	April 21, 2020	1	Suicide, inability to go home	loksatta (marathi)	April 21, 2020	https://www.loksatta.com/maharashtra-news/two-youth-commit-suicide-in-nashik-due-to-fear-of-corona-virus-and-lockdown-aau-85-2138241/
SET_APRIL_28	13	Koregaon (Rampur), Kelapur	Yavatmal	Maharastra 	April 24,2020	1	exhaustion, waiting at mini-ATM to withdraw money from Jan Dhan Account	Loksatta (Marathi)	April 27, 2020	https://www.loksatta.com/maharashtra-news/suicide-of-two-youths-due-to-lack-of-employment-zws-70-2142682/
SET_APRIL_28	14	Khadwali village		Maharastra 	April 24, 2020	1	exhaustion, walking	Times of India	April 26, 2020	https://timesofindia.indiatimes.com/city/thane/migrant-dies-after-60km-walk-on-empty-stomach/articleshow/75385591.cms
SET_APRIL_28	27	Chouka	Saraikela Kharsawan	Jharkhand	April 21, 2020	1	starvation death	Hindustan live	April 21, 2020	https://www.livehindustan.com/jharkhand/adityapur/story-worker-died-in-chowka-family-said-died-of-hunger-3164644.html
SET_APRIL_28	28	Jaitpur, Shirpur	Dhule	Maharashtra	April 26,2020	1	Suicidie, financial distress	Zee 24Taas	April 26,2020	https://www.youtube.com/watch?v=UEBR6F9i4E0
SET_APRIL_28	29	Ganori, Babhulgaon	Yavatmal	Maharashtra	April 25,2020	1	Suicidie, financial distress	Loksatta (Marathi)	April 27, 2020	https://www.loksatta.com/maharashtra-news/suicide-of-two-youths-due-to-lack-of-employment-zws-70-2142682/
SET_APRIL_28	30		Yavatmal	Maharashtra	April 22, 2020	1	Suicidie, financial distress	Loksatta (Marathi)	April 27, 2020	https://www.loksatta.com/maharashtra-news/suicide-of-two-youths-due-to-lack-of-employment-zws-70-2142682/
SET_APRIL_28	23		AnantNag	Jammu & Kashmir	April 25, 2020	3	denial of medical care in fear of being corona patient 	The kashmirwalla.com	April 25, 2020	https://thekashmirwalla.com/2020/04/pregnant-woman-from-red-zone-dies-after-delayed-treatment-family/
SET_APRIL_28	24		Jahanabad	Bihar	April 25, 2020	1	denial of care; ambulance not provided	NDTV	April 25, 2020	https://www.ndtv.com/india-news/bihar-child-dies-on-way-to-patna-hospital-family-says-ambulance-not-provided-2218235
SET_APRIL_28	25		Ahmedabad	Gujarat	April 23, 2020	1	denial of timely care	Indian express	April 25, 2020	https://indianexpress.com/article/cities/ahmedabad/ahmedabad-ailing-teen-cops-rescued-after-sos-video-passes-away-in-hospital-6376586/
SET_APRIL_28	26	Chhipi tola auliya road	Agra 	Uttar Pradesh	April 27, 2020	1	denial of timely care	The print youtube	April 28, 2020	https://www.youtube.com/watch?v=T1uXXCpgAXw&feature=youtu.be
SET_APRIL_28	11	Kalyan	Thane	Maharashtra	April 22, 2020	1	Attack by mob	India Today	April 24, 2020	https://www.indiatoday.in/india/story/maharashtra-man-dies-after-being-attacked-on-suspicion-of-being-covid-19-patient-1670415-2020-04-24
SET_APRIL_28	18	Bargur	Krishnagiri	Tamil Nadu	April 19, 2020	1	Drowning	New Indian Express	April 21, 2020	https://www.newindianexpress.com/states/tamil-nadu/2020/apr/21/tamil-nadu-man-dies-after-drowning-in-while-crossing-cauvery-to-by-pass-police-check-post-2133020.html
SET_APRIL_28	34	Karaiyaraiappa Devar Street, Sulur	Coimbatore	Tamil Nadu	April 11, 2020	1	death, withdrawal, consumed sanitizer	The new indian express	April 11, 2020	https://www.newindianexpress.com/states/tamil-nadu/2020/apr/11/coimbatore-man-dies-after-drinking-hand-sanitizer-as-alternative-for-alcohol-2128755.html
SET_APRIL_28	35	BMC colony, Santosh Nagar, Goregaon East	Mumbai Suburban	Maharashtra	April 24, 2020	1	suicide, withdrawal	Mumbai Mirror	April 26, 2020	https://mumbaimirror.indiatimes.com/mumbai/other/autorickshaw-driver-commits-suicide/articleshow/75383637.cms
SET_APRIL_28	57		Sidhi	Madhya Pradesh	April 24, 2020	1	suicide, quarantine	Deccan Herald	April 24, 2020	https://www.deccanherald.com/national/covid-19-man-commits-suicide-after-being-quarantined-in-madhya-pradesh-829304.html
SET_APRIL_28	58		Noida	Uttar Pradesh	April 25, 2020	1	Suicide, lockdown, depression	Catch News	April 25,2020	http://www.catchnews.com/india-news/noida-depressed-due-to-present-lockdown-woman-commits-suicide-by-jumping-off-17th-floor-of-highrise-189387.html
SET_APRIL_28	59		Bangalore	Karnataka	April 27,2020	1	Suicide, depression, corona infection	Quint	April 27,2020	https://www.thequint.com/coronavirus/bengaluru-covid-19-patient-jumps-to-death-from-6th-floor
SET_APRIL_28	60	Fatehpur Tal Narja village 	Mow	Madhya Pradesh	April 27, 2020	1	suicide, lack of freedom of movement, husband stranded	Amar Ujala	April 27, 2020	https://www.amarujala.com/uttar-pradesh/husband-trapped-in-lockdown-in-surat-his-wife-suicide-in-mau
SET_APRIL_28	61	Berni village	Gwalior	Madhya Pradesh	April 26, 2020	1	suicide, lack of freedom of movement, husband stranded	Patrika	April 27, 2020	https://www.patrika.com/gwalior-news/woman-commuted-suicide-and-husband-stuck-in-other-city-in-lockdown-6043969/
SET_APRIL_28	62		Greator Noida	Uttar Pradesh	April 26, 2020	1	suicide, stressed over lockdown	Amar Ujala	April 26, 2020	https://www.amarujala.com/delhi-ncr/two-suicide-cases-noted-in-greater-noida-due-to-anxiety-in-lockdown-period?pageId=1
SET_APRIL_28	63	Bisrakh thana	Greator Noida	Uttar Pradesh	April 26, 2020	1	suicide, stressed over lockdown	Amar Ujala	April 26, 2020	https://www.amarujala.com/delhi-ncr/two-suicide-cases-noted-in-greater-noida-due-to-anxiety-in-lockdown-period?pageId=1
SET_APRIL_29	31	Dhanvantarinagar	Nagpur	Maharashtra	April 27, 2020	1	Suicidie, financial distress	Maharashtra times	April 27, 2020	https://maharashtratimes.com/crime-news/tailor-committed-suicide-due-to-financial-crisis-in-lockdown-in-nagpur/articleshow/75411808.cms
SET_APRIL_29	32	Gomia	Bokaro	Jharkhand	April 21, 2020	1	starvation 	twitter	April 21, 2020	https://twitter.com/JharkhandJanad1/status/1252789069521846275
SET_APRIL_29	27		Delhi	Delhi	April 22, 2020	1	denial of timely care	The Hindu	April 26, 2020	https://www.thehindu.com/news/cities/Delhi/destitute-man-dies-a-week-after-being-rescued/article31435373.ece
SET_APRIL_29	48		Shravasti	Uttar Pradesh	April 27, 2020	1	walking, but not clear why died	Indian Express	April 29, 2020	https://indianexpress.com/article/india/coronavirus-up-migrant-death-mumbai-6383939/
SET_APRIL_29	49		Darbhanga	Bihar	April 15, 2020	1	suicide inside isolation camp, reason not clear	Times of India	April 13, 2020	https://timesofindia.indiatimes.com/city/patna/darbhanga-man-commits-suicide-in-isolation-camp/articleshow/75147761.cms
SET_APRIL_30	15	Mittapalle village	Chittoor	Andhra Pradesh	April 28, 2020	1	exhaustion, walking	The newsminute	May 1, 2020	https://www.thenewsminute.com/article/migrant-worker-collapses-and-dies-after-walking-bengaluru-his-home-andhra-123710
SET_APRIL_30	33		Bhopal	Madhya Pradesh	April 29, 2020	1	starvation 	patrika	April 29, 2020	https://www.patrika.com/bhopal-news/fact-check-dead-body-found-elder-death-hunger-in-lockdown-6050036/
SET_APRIL_30	11		Baptala	Andhra Pradesh	April 1, 2020	1	police harrasment leading to suicide	newsd.in	April 3, 2020	https://newsd.in/andhra-pradesh-youth-ends-life-after-cops-seize-cycle-for-violating-lockdown/
SET_APRIL_30	28	Veraval coast		Gujarat	April 22, 2020	1	denial of essential service, denial to be rescued, heart attack	India spend	April 29, 2020	https://www.indiaspend.com/covid-19-andhra-fishers-rescued-from-gujarat-the-human-face-of-a-sector-in-turmoil/
SET_APRIL_30	19		Barwani	Madhya Pradesh		1	walking on risky mountanious path	twitter	April 28, 2020	https://twitter.com/Bhayankur/status/1255318671733534723/photo/1
SET_APRIL_30	36		Nagpur	Maharashtra	April 29, 2020	1	suicide, withdrawal	PTI	April 4, 2020	http://www.ptinews.com/news/11361255_Maha-lockdown--Not-getting-liquor--Nagpur-man-kills-self.html
SET_APRIL_30	64	Veraval coast		Gujarat	April 9, 2020	1	stopped eating, anxious over getting covid	India spend	April 29, 2020	https://www.indiaspend.com/covid-19-andhra-fishers-rescued-from-gujarat-the-human-face-of-a-sector-in-turmoil/
SET_APRIL_30	65		Baksa	Assam	April 1, 2020	1	suicide, harrasement from villagers	Telegraph	April 3, 2020	https://www.telegraphindia.com/states/north-east/coronavirus-outbreak-youth-commits-suicide-after-returning-from-bangalore/cid/1761491
SET_APRIL_30	66			Punjab	April 21, 2020	1	suicide, lack of freedom of movement	Ajit News	April 21, 2020	https://www.youtube.com/watch?v=6di3XSZMKsY
SET_APRIL_30	67		Gurugram 	Haryana	April 30, 2020	1	suicide, fear of infection 	Telegraph	April 30, 2020	https://www.tribuneindia.com/news/nation/man-commits-suicide-in-gurugram-wife-had-tested-positive-for-covid-19-78535
SET_APRIL_30	68		Gonda	Uttar Pradesh	April 28, 2020	1	suicide, lack of freedom of movement	livehindustan.com	April 28, 2020	https://www.livehindustan.com/uttar-pradesh/story-up-woman-hanged-in-gonda-3180972.html
SET_APRIL_30	69	Yakubpur village	Noida	Uttar Pradesh	April 30, 2020	1	suicide, husband couldn't return home	Navbharat times (hindi)	April 30, 2020	https://navbharattimes.indiatimes.com/state/uttar-pradesh/noida/lockdown-in-noida-husband-starnded-in-bareilly-women-commits-suicide/articleshow/75469125.cms
SET_MAY_3	16		Shahjahanpur	Uttar Pradesh	May 1, 2020	1	exhaution, migration, cycling 	Indian express	May 2, 2020	https://indianexpress.com/article/india/migrant-worker-on-way-home-in-bihar-on-bicycle-dies-in-ups-shahjahanpur-6390068/
SET_MAY_3	17	Girad	Wardha 	Maharashtra 	April 30, 2020	1	Exhaustion, migration, died by suicide	TV9 Marathi	May 1, 2020	https://www.tv9marathi.com/maharashtra/migrant-worker-commits-suicide-after-tired-due-to-walking-450-km-from-hyderabad-214188.html
SET_MAY_3	18	Barwani	Barwani	Madhya Pradesh	May 1,  2020	1	Exhaustion, Migration	NDTV Khabar	May 2, 2020	https://khabar.ndtv.com/news/mp-chhattisgarh/migrant-worker-dies-in-mp-after-350-km-bicycle-ride-to-home-from-maharashtra-coronavirus-lockdown-2221955
SET_MAY_3	19		-	Madhya Pradesh	April 21, 2020	1	Exhaustion, Migration	NDTV Khabar	May 2, 2020	https://khabar.ndtv.com/news/mp-chhattisgarh/migrant-worker-dies-in-mp-after-350-km-bicycle-ride-to-home-from-maharashtra-coronavirus-lockdown-2221955
SET_MAY_3	34	Girad police station area	Wardha district	Maharashtra 	April 30, 2020	1	Suicide, Lockdown, No Work, Tired of Walking, Migration	Times of India	May 01, 2020	https://timesofindia.indiatimes.com/city/nagpur/migrant-walking-from-hyd-to-gondia-commits-suicide-in-wardha-district/articleshow/75493686.cms
SET_MAY_3	35		Ayodhya	Uttar Pradesh	April 29, 2020	1	hunger death	Indian Time	April 29, 2020	https://indiantime.in/crime-news/police-claims-sadhu-did-not-die-of-hunger-in-ayodhya/8689/
SET_MAY_3	12		Sanga Reddy	Telangana	April 30, 2020	1	murder by father, unable to feed	The news minute	May 2, 2020	https://www.thenewsminute.com/article/telangana-man-allegedly-kills-4-yr-old-daughter-due-financial-stress-amid-lockdown-123783
SET_MAY_3	20		Saran 	Bihar	April 30, 2020	1	fell into river walking on rail bridge	hindustan times		https://ia601503.us.archive.org/26/items/NonVirusDeaths/english-2020-05-01.jpeg
SET_MAY_3	21			Bihar	April 30, 2020	2	hit by train while walking	hindustan times		https://ia601503.us.archive.org/26/items/NonVirusDeaths/english-2020-05-01.jpeg
SET_MAY_3	22	Padiyawali village 	Aligarh	Uttar Pradesh	April 30, 2020	3	Road accident while walking home	Hindi newspaper		https://ia801503.us.archive.org/26/items/NonVirusDeaths/hindi-2020-05-01.jpeg
SET_MAY_3	23	NH-31, Naugachia police district	Bhagalpur	Bihar	May 1, 2020	4	Road accident	NDTV	May 02, 2020	https://www.ndtv.com/cities/jharkhand-ranchi-couple-cycling-to-patna-hitches-ride-on-truck-killed-in-accident-2222283
SET_MAY_3	24		Ganjam	Odisha	May 02, 2020	1	Road accident, Migration	Economic Times	May 02, 2020	https://economictimes.indiatimes.com/news/politics-and-nation/1-killed-as-bus-ferrying-odia-migrants-from-gujarat-meets-with-accident/articleshow/75511733.cms?from=mdr
SET_MAY_3	70		Firozabad 	Uttar Pradesh	April 30, 2020	1	suicide, quarantine	National Herald 	April 30, 2020	https://www.nationalheraldindia.com/national/quarantined-railways-worker-hangs-self-report-comes-negative
SET_MAY_3	71		Chennai	Tamil Nadu	May 1, 2020	1	Suicide, stress after handling corona patients	India Today	May 1, 2020	https://www.indiatoday.in/india/story/medical-student-serving-covid-19-cases-found-dead-in-chennai-hostel-1673188-2020-05-01
SET_MAY_3	72		Kanpur	Uttar Pradesh	May 1, 2020	1	Suicide, stress	Hindustan Times	May 1, 2020	https://www.hindustantimes.com/india-news/covid-19-patient-admitted-to-hospital-in-up-dies-after-consuming-toxic-liquid/story-uih92venoF2M2yLhhB1DCJ.html
SET_MAY_3	73		Badohi	Uttar Pradesh	May 1, 2020	1	Suicide, freedom of movement	India Today	May 1, 2020	https://www.indiatoday.in/india/story/man-suicide-wife-mumbai-1673283-2020-05-01
SET_MAY_3	74	Dhrol	Jamnagar	Gujarat	May 1, 2020	1	Suicide, fear of uncertainity about education	Times of India	May 1, 2020	https://timesofindia.indiatimes.com/city/rajkot/former-mlas-daughter-ends-life-in-dhrol/articleshow/75478655.cms
SET_MAY_3	75		Surat	Gujarat	April 30, 2020	1	suicide, lack of freedom of movement	Navbharat times (hindi)	May 2, 2020	https://navbharattimes.indiatimes.com/state/gujarat/other-cities/man-kills-himself-after-father-scolded-him-for-breaking-lockdown-norms-for-his-girlfriend/articleshow/75502093.cms
SET_MAY_3	76	Ramanthapur	Hyderabad	Telangana	May 2, 2020	1	Suicide, Fear of infection 	Times of India	May 2, 2020	https://timesofindia.indiatimes.com/city/hyderabad/hyderabad-man-jumps-to-death-over-coronavirus-fear/articleshow/75506336.cms
SET_MAY_3	50		Hyderabad	Telangana	May 2, 2020	1	suicide, family doubts financial distress, not clear	PRAG News	May 2, 2020	https://pragnews.com/regional/assam-boy-stuck-in-hyderabad-due-to-lockdown-commits-suicide/
SET_MAY_3	51		Salem	Tamil Nadu	April 26, 2020	1	death due to mental agony, lockdown violation	New Indian Express	April 27, 2020	https://www.newindianexpress.com/states/tamil-nadu/2020/apr/27/son-violates-lockdown-aged-woman-dies-of-agony-2135782.html
SET_MAY_3	52	Amaanganj	Panna	Madhya Pradesh	April 29, 2020	1	suicide, quarantined, came home after no work	India Today	April 29, 2020	https://www.indiatoday.in/india/story/mp-labourer-commits-suicide-at-quarantine-facility-1672601-2020-04-29
