PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC
DB_LASTUPDATED_SET	S. No	Incident Location	District	State/UT	Date of incident	No. of deaths	Reason of death	Source	Date of publication	Link
SET_APRIL8	3	Rampur	Rampur	Uttar Pradesh	March 29, 2020	1	Lockdown, road accident	Beyond Headlines, Amar Ujala	March 29, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
SET_APRIL8	4	Highway, near Delhi Gate Police station	Aligarh	Uttar Pradesh	March 26, 2020	1	Lockdown, road accident	Jagran	March 28, 2020	https://www.jagran.com/uttar-pradesh/hathras-an-unknown-vehicle-was-thrashed-the-laborer-coming-from-noida-outraged-by-death-20145590.html
SET_APRIL8	5	Deograh	Deograh	Orissa	March 27,2020	1	Road accident, Migration	Beyong Headline	March 31, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
SET_APRIL8	6	Bridge on the Daman-Ganga river between Vapi and Karambeli railway station	Vapi	Gujarat	March 28,2020	2	Road accident, Migration	Times of India	March 29,2020	https://timesofindia.indiatimes.com/city/surat/speeding-goods-train-kills-two-women-labourers-at-vapi/articleshow/74867702.cms
SET_APRIL8	7	Kushalgarh	Kushalgarh	Rajasthan		1	Road accident, Migration	Nai Dunia (Hindi)	March 27,2020	https://www.naidunia.com/madhya-pradesh/jhabua-jhabua-news-5434877
SET_APRIL8	8	Panchgaon Chowk, Manesar	Gurgaon	Haryana	March 28,2020	5	Road accident, Migration	Beyong Headline	March 31, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
SET_APRIL8	9	Kundli–Manesar–Palwal (KMP) Expressway	Gurgaon	Haryana	March 26,2020	1	Road accident, Migration	Beyong Headline	March 31, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
SET_APRIL8	10	-	Sonipat	Haryana		1	Road accident, Migration	Beyong Headline	March 31, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
SET_APRIL8	11	Sakatpur	Gurgaon	Haryana		3	Stuck under a pit during Migration, Asphyxiation	Times of India	March 31, 2020	https://timesofindia.indiatimes.com/city/gurgaon/gurugram-three-buried-in-15-foot-deep-pit-while-walking-home/articleshow/74903630.cms?utm_campaign=andapp&utm_medium=referral&utm_source=native_share_tray
SET_APRIL8	12	Srinagar	Guntur	Andhra Pradesh	April 1, 2020	1	Road accident	New Indian Express	April 2,2020	https://www.newindianexpress.com/states/andhra-pradesh/2020/apr/02/telangana-youngster-on-bike-dies-in-attempt-to-flee-from-police-at-andhra-border-2124762.html
SET_APRIL8	3	Kundli–Manesar–Palwal (KMP) Expressway	-	Haryana	March 29,2020	4	Road accident, Migration	National Herald	March 29,2020	https://www.nationalheraldindia.com/india/coronavirus-live-updates-covid-19-india-wuhan-us-italy-who-alert-novel-coronavirus-latest-news-29th-march
SET_APRIL8	4	Pedda Golconda (Outer Ring Road)	Hyderabad	Telangana	March 27, 2020	8	Road accident, Migration	Indian Express	March 28,2020	https://indianexpress.com/article/cities/hyderabad/india-lockdown-hyderabad-migrant-labourers-accident-6335807/?fbclid=IwAR3cSta5cPjibyt52giqm76vJRx9_Thuxjo39SmdBPkYnQmvbyYWTjEAN2M
SET_APRIL8	8	Bharol village, Virar	Mumbai	Maharashtra	March 28, 2020	4	Road accident, Migration	Indian Express	March 28, 2020	https://indianexpress.com/article/cities/mumbai/four-migrants-run-over-by-a-truck-in-virar-6336120/
SET_APRIL8	1	Madhugiri	Tumkur	Karnataka	March 29,2020	1	Suicide, Lockdown	Prajaavaani	March 29,2020	https://www.prajavani.net/stories/stateregional/no-liquor-ban-man-attempted-to-suicide-715881.html
SET_APRIL8	2	Hosur	Hubballi	Karnataka	March 29,2020	1	Suicide, Lockdown	Public TV	March 29,2020	https://publictv.in/corona-virus-police-alcohol-bidar-mangaluru/amp
SET_APRIL8	3	Kadaba	Dakshina Kannada	Karnataka	March 29,2020	2	Suicide, Lockdown	Public TV	March 29,2020	https://publictv.in/corona-virus-police-alcohol-bidar-mangaluru/amp
SET_APRIL8	4	Bhalki	Bidar	Karnataka	March 29,2020	1	Suicide, Lockdown	Public TV	March 29,2020	https://publictv.in/corona-virus-police-alcohol-bidar-mangaluru/amp
SET_APRIL8	5	Balanagar	Hyderabad	Telangana	March 29,2020	1	Suicide, Lockdown	Telangana Today	March 29,2020	https://telanganatoday.com/unable-to-get-liquor-man-hangs-self-in-hyderabad
SET_APRIL8	6	Thrissur	Thrissur	Kerala	March 27,2020	1	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
SET_APRIL8	7	Kochi	Kochi	Kerala	March 27,2020	1	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
SET_APRIL8	8	Kollam	Kollam	Kerala	March 28,2020	2	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
SET_APRIL8	9	Kannur	Kannur	Kerala	March 28,2020	1	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
SET_APRIL8	10	Kochi	Kochi	Kerala	March 28,2020	1	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
SET_APRIL8	11		Thiruvananthapuram	Kerala	March 29,2020	1	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
SET_APRIL8	12		Tangapani	Chhattisgarh	March 30,2020	1	Suicide, Home Qurantine	TimesOfIndia	March 30,2020	https://m.timesofindia.com/city/raipur/chhattisgarh-covid-19-suspect-under-home-quarantine-commits-suicide-in-dhamtari/amp_articleshow/74899263.cms
SET_APRIL8	13	Kottaipattinam	Pudukkottai	Tamil Nadu	April 5, 2020	2	Death, withdrawal symptoms, drank aftershave	New Indian express	April 4, 2020	https://www.newindianexpress.com/states/tamil-nadu/2020/apr/04/craving-alcohol-amid-lockdown-two-tn-men-die-after-drinking-aftershave-mixed-with-soda-2125733.html
SET_APRIL8	14	Hyderabad	Hyderabad	Telangana	March 27,2020	1	Suicide, Lockdown	New Indian express	March 28, 2020	https://www.newindianexpress.com/cities/hyderabad/2020/mar/28/hyderabad-tippler-commits-suicide-upset-at-not-getting-liquor-during-lockdown-2122690.html
SET_APRIL8	15	Hyderabad	Hyderabad	Telangana		1	Suicide, Lockdown	New Indian express	March 28, 2020	https://www.newindianexpress.com/states/telangana/2020/mar/28/as-covid-19-turns-telangana-dry-alcoholic-commits-suicide-2122527.html
SET_APRIL8	16	Dundigal	Hyderbad	Andra Pradesh	March 31,2020	1	Withdrawal	New Indian Express	April 1,2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
SET_APRIL8	17	Malkajgiri	Hyderbad	Andra Pradesh	March 31,2020	1	Withdrawal	New Indian Express	April 1,2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
